"","pValue","qValue","EffectSize","X.SB01.SA01.","significant","GeneName"
"A0A2H1A207","0.237150685647112","0.631952679366453","0.35063300988071","SB01-SA01","Non significant","A0A2H1A207"
"A0A2H1A212","0.406518815500365","0.790251794690203","-0.264678735100947","SB01-SA01","Non significant","A0A2H1A212"
"A0A2H1A222","0.0157380022300282","0.175741024901981","0.708876425840449","SB01-SA01","Non significant","A0A2H1A222"
"A0A2H1A235","0.444641171700748","0.824255768883996","-0.447511500064302","SB01-SA01","Non significant","A0A2H1A235"
"A0A2H1A244","0.136514112482453","0.487984817109432","0.414450493623598","SB01-SA01","Non significant","A0A2H1A244"
"A0A2H1A2B0","0.0820198600365594","0.376331046652567","-0.551230795630456","SB01-SA01","Non significant","A0A2H1A2B0"
"A0A2H1A2C2","0.110611726698312","0.439634744250071","-0.935258043675269","SB01-SA01","Non significant","A0A2H1A2C2"
"A0A2H1A2E4","0.000155288924077494","0.0242768351307816","-1.15711989610579","SB01-SA01","Non significant","A0A2H1A2E4"
"A0A2H1A2F2","0.0150166180484087","0.171775460114724","-1.25698831156011","SB01-SA01","Non significant","A0A2H1A2F2"
"A0A2H1A2F8","0.0466557524060348","0.270142566400374","0.746118405352899","SB01-SA01","Non significant","A0A2H1A2F8"
"A0A2H1A2I2","0.905140828521134","0.988088124466984","-0.0289317600099857","SB01-SA01","Non significant","A0A2H1A2I2"
"A0A2H1A2M0","0.00617666946379043","0.102295209077494","-0.648345409976695","SB01-SA01","Non significant","A0A2H1A2M0"
"A0A2H1A2S6","0.00313346285102278","0.0734797038564843","-1.14491390489836","SB01-SA01","Non significant","A0A2H1A2S6"
"A0A2H1A2W7","0.00272231759112454","0.0709314972354117","1.20354379717326","SB01-SA01","Non significant","A0A2H1A2W7"
"A0A2H1A309","0.85474186015062","0.982151776978653","-0.0575947739140741","SB01-SA01","Non significant","A0A2H1A309"
"A0A2H1A331","0.0636660060554404","0.317801028177195","0.319802569757483","SB01-SA01","Non significant","A0A2H1A331"
"A0A2H1A361","0.732465891843265","0.959571238196903","0.0995181391052515","SB01-SA01","Non significant","A0A2H1A361"
"A0A2H1A3C7","0.250039553416633","0.640811751652464","-1.08788187151889","SB01-SA01","Non significant","A0A2H1A3C7"
"A0A2H1A3F8","0.985997247840851","0.992859729938414","-0.00642070783836601","SB01-SA01","Non significant","A0A2H1A3F8"
"A0A2H1A3H0","0.220845826738737","0.605711653453027","-0.285953851595472","SB01-SA01","Non significant","A0A2H1A3H0"
"A0A2H1A3M0","0.225050056123689","0.609401531909577","-0.652335476867666","SB01-SA01","Non significant","A0A2H1A3M0"
"A0A2H1A3N7","0.897900897768581","0.985623544715673","0.0281085114137589","SB01-SA01","Non significant","A0A2H1A3N7"
"A0A2H1A3R2","0.06146227763184","0.313324002275358","0.529499742948953","SB01-SA01","Non significant","A0A2H1A3R2"
"A0A2H1A3R4","0.00483275301725289","0.0906624466036642","-0.776195189311295","SB01-SA01","Non significant","A0A2H1A3R4"
"A0A2H1A3T9","0.424404458584853","0.794894423467443","0.32754302431756","SB01-SA01","Non significant","A0A2H1A3T9"
"A0A2H1A3Y8","0.843480482255196","0.978984846083208","0.130752222004991","SB01-SA01","Non significant","A0A2H1A3Y8"
"A0A2H1A3Z3","0.666771380952292","0.930789426764152","0.143133577176183","SB01-SA01","Non significant","A0A2H1A3Z3"
"A0A2H1A402","0.637477938835624","0.925014734827257","0.184046492201011","SB01-SA01","Non significant","A0A2H1A402"
"A0A2H1A421","0.152530176473895","0.504684694815506","-0.970312122438774","SB01-SA01","Non significant","A0A2H1A421"
"A0A2H1A465","0.985498057670728","0.992859729938414","0.00553622948191723","SB01-SA01","Non significant","A0A2H1A465"
"A0A2H1A472","0.146492181373164","0.497188469651937","0.546565512387625","SB01-SA01","Non significant","A0A2H1A472"
"A0A2H1A4U4","0.705017601557353","0.950851859853209","-0.25219313632979","SB01-SA01","Non significant","A0A2H1A4U4"
"A0A2H1A4W0","0.885821325505267","0.982151776978653","-0.0562090405754887","SB01-SA01","Non significant","A0A2H1A4W0"
"A0A2H1A4W2","0.963496343334155","0.988881208343222","-0.0136707658791657","SB01-SA01","Non significant","A0A2H1A4W2"
"A0A2H1A4Z6","0.79885000898851","0.965015812905956","0.17119602955194","SB01-SA01","Non significant","A0A2H1A4Z6"
"A0A2H1A533","0.87511937131891","0.982151776978653","-0.0257847808672338","SB01-SA01","Non significant","A0A2H1A533"
"A0A2H1A534","0.0349619812549161","0.244733868784412","-0.60584201540625","SB01-SA01","Non significant","A0A2H1A534"
"A0A2H1A546","0.00632529011353376","0.102295209077494","-1.01734004462947","SB01-SA01","Non significant","A0A2H1A546"
"A0A2H1A562","0.294683643896361","0.680820832450213","0.299823208239356","SB01-SA01","Non significant","A0A2H1A562"
"A0A2H1A599","0.747450351117805","0.964050009540299","-0.209787070498319","SB01-SA01","Non significant","A0A2H1A599"
"A0A2H1A5C8","0.0413579855677861","0.265710893579338","-1.18328308044425","SB01-SA01","Non significant","A0A2H1A5C8"
"A0A2H1A5E3","0.650130632238922","0.929607519878214","-0.181728801085491","SB01-SA01","Non significant","A0A2H1A5E3"
"A0A2H1A5H4","0.645629990140466","0.925995306959873","0.0634374644015985","SB01-SA01","Non significant","A0A2H1A5H4"
"A0A2H1A5H8","0.757950857045894","0.964050009540299","-0.0902784211612335","SB01-SA01","Non significant","A0A2H1A5H8"
"A0A2H1A5I6","0.326855477515309","0.729977233117523","0.413459454973971","SB01-SA01","Non significant","A0A2H1A5I6"
"A0A2H1A5I7","0.0430050107927001","0.268924667490351","0.465119140268847","SB01-SA01","Non significant","A0A2H1A5I7"
